# SDC file containing only one column of LP correction values created from
# original files: ../SDCs_Chung/3p2singlet_NLO.txt and ../SDCs_Chung/3p2singlet_NLOLP.txt
# Using column 1 for helicity eigenstate h=0
# LP = NLO+LP - NLO (where the values are taken from the corresponding individual files)
################################################
# pT SDC
################################################
5.0 -216.34850999999998
6.0 -105.09956710000002
7.0 -55.75760625
8.0 -31.68313713
9.0 -19.007011522
10.0 -11.928283846
11.0 -7.7767355049999995
12.0 -5.236708467
13.0 -3.626913095
14.0 -2.572647288
15.0 -1.862998201
16.0 -1.373501274
17.0 -1.029401062
18.0 -0.7832681699999999
19.0 -0.6039409450000001
20.0 -0.47123175600000006
21.0 -0.371509483
22.0 -0.29576600599999997
23.0 -0.23759339399999996
24.0 -0.19245615600000002
25.0 -0.157100369
26.0 -0.12918300300000002
27.0 -0.10693297599999999
28.0 -0.089062297
29.0 -0.074605495
30.0 -0.062831759
31.0 -0.05317968299999999
32.0 -0.04522336899999999
33.0 -0.038628847
34.0 -0.033134738000000004
35.0 -0.028535051
36.0 -0.024666386999999998
37.0 -0.021398332000000003
38.0 -0.018626188000000002
39.0 -0.016265436
40.0 -0.014247491
41.0 -0.012516723
42.0 -0.011026885
43.0 -0.009740265000000001
44.0 -0.00862569
45.0 -0.007657284
46.0 -0.006813484
47.0 -0.006076252999999999
48.0 -0.005430448
49.0 -0.00486331
50.0 -0.004364058
51.0 -0.003923799
52.0 -0.003534427
53.0 -0.0031893100000000003
54.0 -0.0028827799999999997
55.0 -0.002609974
56.0 -0.0023667109999999996
57.0 -0.002149387
58.0 -0.001954885
59.0 -0.001780507
60.0 -0.001623907
61.0 -0.0014829069999999999
62.0 -0.0013559000000000002
63.0 -0.001241329
64.0 -0.001137828
65.0 -0.0010441970000000002
66.0 -0.000959381
67.0 -0.000882447
68.0 -0.000812574
69.0 -0.0007490350000000001
70.0 -0.000691184
71.0 -0.0006384960000000001
72.0 -0.0005904059999999999
73.0 -0.0005464599999999999
74.0 -0.0005062560000000001
75.0 -0.00046943299999999995
76.0 -0.000435672
77.0 -0.00040468499999999995
78.0 -0.00037621600000000007
79.0 -0.000350033
80.0 -0.00032593
81.0 -0.00030370999999999995
82.0 -0.000283219
83.0 -0.000264306
84.0 -0.000246833
85.0 -0.00023067799999999998
86.0 -0.000215729
87.0 -0.000201886
88.0 -0.00018905499999999998
89.0 -0.000177155
90.0 -0.00016610899999999998
91.0 -0.00015585300000000001
92.0 -0.00014631800000000002
93.0 -0.000137449
94.0 -0.00012919100000000002
95.0 -0.00012149900000000001
96.0 -0.00011432840000000001
97.0 -0.0001076391
98.0 -0.00010139529999999998
99.0 -9.556329999999999e-05
100.0 -9.011240000000001e-05
101.0 -8.5014e-05
102.0 -8.02425e-05
103.0 -7.57759e-05
104.0 -7.159160000000001e-05
105.0 -6.766960000000001e-05
106.0 -6.39917e-05
107.0 -6.0540599999999994e-05
108.0 -5.7301799999999994e-05
109.0 -5.4259e-05
110.0 -5.14004e-05
111.0 -4.87123e-05
112.0 -4.6184e-05
113.0 -4.38047e-05
114.0 -4.1564600000000005e-05
115.0 -3.9454699999999993e-05
116.0 -3.746649999999999e-05
117.0 -3.559210000000001e-05
118.0 -3.382420000000001e-05
119.0 -3.2156099999999995e-05
120.0 -3.05815e-05
