# SDC file containing only one column of LP correction values created from
# original file: ../SDCs_Chung/3pjoctetlong.txt
# This file contains only the LP = NLO+LP - NLO part of the SDCs
# The original values are taken from column 3 (NLO) and column 1 (NLO+LP) from the original file
################################################
# pT SDC
################################################
5.0 663.6491755146017
6.0 308.5854431280213
7.0 159.01879239365144
8.0 88.48725412501608
9.0 52.01117691772822
10.0 32.048227162694786
11.0 20.583062687657417
12.0 13.68352435436357
13.0 9.36635920060553
14.0 6.573562393851454
15.0 4.714547422328444
16.0 3.4451730173369715
17.0 2.561330144912242
18.0 1.9348784479715997
19.0 1.4820305687886526
20.0 1.1492631064464343
21.0 0.9007350209612541
22.0 0.7131053378497456
23.0 0.5698208618477787
24.0 0.4592415509836374
25.0 0.37306736772852034
26.0 0.3053471762084139
27.0 0.2516273552451679
28.0 0.2086752198856746
29.0 0.17407898202670247
30.0 0.14602131264995977
31.0 0.1231121499021135
32.0 0.1043016613220362
33.0 0.08876974334841933
34.0 0.07587705000657269
35.0 0.06512163448593697
36.0 0.056106798805731634
37.0 0.04851705452072856
38.0 0.04210000602428972
39.0 0.03665259521490151
40.0 0.03201058365203096
41.0 0.028041367643494984
42.0 0.024634648223291693
43.0 0.021700975529863636
44.0 0.01916663021186559
45.0 0.0169706001924381
46.0 0.015062186276248838
47.0 0.013399096178692234
48.0 0.011945919988998577
49.0 0.01067290507379588
50.0 0.009554967230848126
51.0 0.008572690947754346
52.0 0.007705723125234647
53.0 0.0069387888003235795
54.0 0.00625886889840496
55.0 0.005654833008070456
56.0 0.005117137378233368
57.0 0.004637575611061575
58.0 0.004209072105750782
59.0 0.0038255103225868104
60.0 0.0034815895161347046
61.0 0.003171542965978421
62.0 0.0028928369767991374
63.0 0.0026419632262855717
64.0 0.0024158412633995307
65.0 0.0022117623456849585
66.0 0.002027341131925581
67.0 0.0018604740696892765
68.0 0.0017093034968482137
69.0 0.0015721866268715464
70.0 0.001447668714315029
71.0 0.0013349248781672936
72.0 0.0012322309771850817
73.0 0.0011385667558978785
74.0 0.001053028701386844
75.0 0.0009748151704882691
76.0 0.0009032136012754632
77.0 0.000837589490978867
78.0 0.0007773768747570643
79.0 0.0007220700827957125
80.0 0.0006712165888037066
81.0 0.0006242874489412596
82.0 0.0005810696484999627
83.0 0.000541237488657737
84.0 0.000504496557608763
85.0 0.00047058047532045504
86.0 0.0004392480019639682
87.0 0.0004102804667143407
88.0 0.0003834794790761269
89.0 0.00035866488962541047
90.0 0.0003356729711705776
91.0 0.000314378667616934
92.0 0.00029461752793427404
93.0 0.00027626555663050144
94.0 0.00025920990750938615
95.0 0.00024334777973384486
96.0 0.00022858543321380978
97.0 0.00021483730934667577
98.0 0.00020202524489861153
99.0 0.00019007776833809394
100.0 0.00017892946925290678
101.0 0.00016851447953358724
102.0 0.00015878499502537988
103.0 0.0001496907634151497
104.0 0.0001411855873870295
105.0 0.00013322696784775695
106.0 0.0001257757811102584
107.0 0.00011879598656214547
108.0 0.00011225436172538757
109.0 0.00010612026194890215
110.0 0.00010036540227256889
111.0 9.496624540110579e-05
112.0 8.989558162325315e-05
113.0 8.513101345552715e-05
114.0 8.065183885220002e-05
115.0 7.643890997895333e-05
116.0 7.247450482659758e-05
117.0 6.874221039993711e-05
118.0 6.522681635100825e-05
119.0 6.191421804484154e-05
120.0 5.8791328151425846e-05
