# SDC file containing only one column of LP correction values created from
# original file: ../SDCs_Chung/3pjoctetunpol.txt
# This file contains only the LP = NLO+LP - NLO part of the SDCs
# The original values are taken from column 3 (NLO) and column 1 (NLO+LP) from the original file
################################################
# pT SDC
################################################
5.0 -40836.39429821861
6.0 -19802.712686317467
7.0 -10493.353675229733
8.0 -5957.554478249912
9.0 -3571.074257583494
10.0 -2239.4872385682183
11.0 -1459.1962237767052
12.0 -982.1045747661617
13.0 -679.8825579918553
14.0 -482.05107933944
15.0 -348.94573339114095
16.0 -257.1716900275982
17.0 -192.68076064593285
18.0 -146.5652010206297
19.0 -112.97698289631418
20.0 -88.12792076335387
21.0 -69.4615513914996
22.0 -55.28730780921116
23.0 -44.40376270561958
24.0 -35.960848212976245
25.0 -29.34888344859657
26.0 -24.128844322666446
27.0 -19.969283847986887
28.0 -16.62904156650327
29.0 -13.92737648351304
30.0 -11.727500794502497
31.0 -9.924371596380695
32.0 -8.438272902440673
33.0 -7.206725528065458
34.0 -6.180838346107985
35.0 -5.322087418607652
36.0 -4.599918896727246
37.0 -3.989950241583486
38.0 -3.472609884464032
39.0 -3.032100866446976
40.0 -2.6556057803048816
41.0 -2.3327291450372956
42.0 -2.054831393903582
43.0 -1.8148675903744937
44.0 -1.6070149650679144
45.0 -1.4264409049266098
46.0 -1.2691186614510144
47.0 -1.1316802319914467
48.0 -1.0112983550581327
49.0 -0.9055914254707419
50.0 -0.8125465421623189
51.0 -0.7305062433760217
52.0 -0.6579548725777039
53.0 -0.5936553219609069
54.0 -0.5365497899365588
55.0 -0.4857312250553979
56.0 -0.4404197178141568
57.0 -0.3999429154113818
58.0 -0.36371971972668843
59.0 -0.33124667452385825
60.0 -0.3020865630358673
61.0 -0.2758316725657448
62.0 -0.2521844268788309
63.0 -0.23085446171957677
64.0 -0.21158714449044513
65.0 -0.19415876948277536
66.0 -0.17837245266235702
67.0 -0.16405461656436815
68.0 -0.15105197413369642
69.0 -0.13922893538562944
70.0 -0.1284653731662027
71.0 -0.11866419114908168
72.0 -0.10971887042017474
73.0 -0.10154505286176163
74.0 -0.09406764820855983
75.0 -0.08721971164337551
76.0 -0.08094146980293032
77.0 -0.07517947394587528
78.0 -0.06988586230537008
79.0 -0.0650177163812308
80.0 -0.06053649821542552
81.0 -0.05640547236743179
82.0 -0.05259599307265142
83.0 -0.049079970663720766
84.0 -0.04583203411832224
85.0 -0.042829242607457275
86.0 -0.04005083030122122
87.0 -0.03747798029611166
88.0 -0.03509362407920133
89.0 -0.032882263417451665
90.0 -0.03082981196689141
91.0 -0.0289242448734914
92.0 -0.027152938891207196
93.0 -0.025505240085657677
94.0 -0.02397143584550856
95.0 -0.02254266322449514
96.0 -0.021210827030352115
97.0 -0.019968526537642074
98.0 -0.018808989840699116
99.0 -0.017726014983664704
100.0 -0.01671391710950118
101.0 -0.015767161144935433
102.0 -0.01488133939609812
103.0 -0.014052060342046771
104.0 -0.013275282759035275
105.0 -0.012547285091625233
106.0 -0.011864637735422396
107.0 -0.011224177932642276
108.0 -0.010622987014607855
109.0 -0.010058369754314648
110.0 -0.009527835617846737
111.0 -0.009029046570082444
112.0 -0.008559913856361576
113.0 -0.008118465710144594
114.0 -0.00770287518780843
115.0 -0.007311448533480785
116.0 -0.006942614558026505
117.0 -0.006594914936944536
118.0 -0.006266995341514528
119.0 -0.005957597326084924
120.0 -0.005665550902037948
