# SDC file containing only one column of LP correction values created from
# original file: ../SDCs_Chung/3s1octetunpol.txt
# This file contains only the LP = NLO+LP - NLO part of the SDCs
# The original values are taken from column 3 (NLO) and column 1 (NLO+LP) from the original file
################################################
# pT SDC
################################################
5.0 -13376.669384742723
6.0 -8532.231670253728
7.0 -5319.73054788863
8.0 -3385.0864840427457
9.0 -2253.9080418457543
10.0 -1545.5562976616393
11.0 -1081.5509854514044
12.0 -772.8243480007857
13.0 -563.8350399852432
14.0 -418.84346727042623
15.0 -316.2111334807453
16.0 -242.21582839562302
17.0 -188.00749477420356
18.0 -147.75731337930057
19.0 -117.37481416521106
20.0 -94.13477359128873
21.0 -76.08317816772694
22.0 -61.987720549514975
23.0 -50.88556775056193
24.0 -42.068827082317995
25.0 -35.01226279319949
26.0 -29.333596678401328
27.0 -24.71817576751934
28.0 -20.941194347167873
29.0 -17.83060058075001
30.0 -15.25354511652953
31.0 -13.105775089130528
32.0 -11.30721392183634
33.0 -9.793728674871035
34.0 -8.514264731019745
35.0 -7.427924213335141
36.0 -6.501751587360328
37.0 -5.709042624450564
38.0 -5.028043833590731
39.0 -4.4409454533806585
40.0 -3.9330967547929303
41.0 -3.4924198601194227
42.0 -3.108828294437062
43.0 -2.773949239661219
44.0 -2.480777688017821
45.0 -2.223430819404804
46.0 -1.99695034521792
47.0 -1.7971427219988998
48.0 -1.6204494120673705
49.0 -1.4638410976944145
50.0 -1.3247310781938075
51.0 -1.2008347023465027
52.0 -1.0903407012970185
53.0 -0.9916085043123322
54.0 -0.9032209077174569
55.0 -0.8239507103043934
56.0 -0.752732755452159
57.0 -0.6886404382620602
58.0 -0.6308659109026958
59.0 -0.5787033598552176
60.0 -0.53153484196943
61.0 -0.488870868543988
62.0 -0.4501677808637085
63.0 -0.4150065291704776
64.0 -0.3830179521562378
65.0 -0.3538761673500059
66.0 -0.3272929262478514
67.0 -0.30301278049292446
68.0 -0.2808089319070145
69.0 -0.26047966076625995
70.0 -0.24184524436881727
71.0 -0.22471572511003376
72.0 -0.20898461710255334
73.0 -0.19452366100410962
74.0 -0.18121755788713
75.0 -0.16896254893845628
76.0 -0.15766516162670663
77.0 -0.1472411017557039
78.0 -0.13761427346474028
79.0 -0.12871591153402923
80.0 -0.12048381235051345
81.0 -0.11287398718630971
82.0 -0.10582027103070135
83.0 -0.09927618871478332
84.0 -0.09319965639178236
85.0 -0.08755251762144134
86.0 -0.0823001336633347
87.0 -0.0774110210438701
88.0 -0.07285653042410237
89.0 -0.06861056161417955
90.0 -0.06464931027824058
91.0 -0.06094862410605772
92.0 -0.05749156772826355
93.0 -0.05426001174376988
94.0 -0.05123732968637346
95.0 -0.04840826089265446
96.0 -0.045758787001620484
97.0 -0.04327602062257619
98.0 -0.04094810487612505
99.0 -0.03876412266099322
100.0 -0.036714014629187997
101.0 -0.03478928971869298
102.0 -0.03298044706210977
103.0 -0.03127956427280706
104.0 -0.029679327635634727
105.0 -0.02817298005594881
106.0 -0.02675427391870328
107.0 -0.02541742835098321
108.0 -0.024157090438083704
109.0 -0.022968299993123924
110.0 -0.021846457524106275
111.0 -0.02078659896628891
112.0 -0.01978558650561653
113.0 -0.01883975777127954
114.0 -0.01794570177136249
115.0 -0.01710024011367965
116.0 -0.016300409736248626
117.0 -0.01554344701816284
118.0 -0.014826773153285754
119.0 -0.014147980679753574
120.0 -0.013504821067847393
