# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/1s0octetunpol.txt
# using column 3 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 15579.63552631573
6.0 6398.109210526291
7.0 2883.9997368421027
8.0 1376.163552631581
9.0 705.4256020839205
10.0 383.3761842105265
11.0 217.90019955946855
12.0 128.99182554476542
13.0 79.16671059149037
14.0 50.18433214717896
15.0 32.75587368421055
16.0 21.980374477095136
17.0 15.09963919394368
18.0 10.58923370254387
19.0 7.563948913609794
20.0 5.493434210526331
21.0 4.046178688726926
22.0 3.0212432841333023
23.0 2.285011230467988
24.0 1.7491335616942494
25.0 1.3542501315789508
26.0 1.0616205576054416
27.0 0.8404060479981423
28.0 0.6712685786979646
29.0 0.5405832585185362
30.0 0.4386215657894734
31.0 0.35813442794876815
32.0 0.2943204862912554
33.0 0.24335904249748075
34.0 0.20238390745115836
35.0 0.16922628947368434
36.0 0.14220605511506473
37.0 0.12009115616311541
38.0 0.10189593955813044
39.0 0.08685054556307191
40.0 0.07434998421052638
41.0 0.06393018132661119
42.0 0.05518961096034493
43.0 0.047824536154758714
44.0 0.04159178416255515
45.0 0.03629561315789478
46.0 0.031780454537572556
47.0 0.027913330724117825
48.0 0.024588929803689135
49.0 0.021720967649733563
50.0 0.019238423684210502
51.0 0.01708527254131324
52.0 0.015208808800457215
53.0 0.01356824005000212
54.0 0.012129564768954987
55.0 0.010864320789473678
56.0 0.009748584974036079
57.0 0.00876216982205007
58.0 0.007887975245341742
59.0 0.007111463210574334
60.0 0.006420230131578945
61.0 0.005808944197576715
62.0 0.005264594093968229
63.0 0.004779072674860918
64.0 0.004345338521978402
65.0 0.003957265661120235
66.0 0.0036095158507206456
67.0 0.003297429844296715
68.0 0.0030169346371647786
69.0 0.002764464206880755
70.0 0.0025368916674969643
71.0 0.002331471096635328
72.0 0.0021457875748780897
73.0 0.0019777142097521442
74.0 0.0018253751102264915
75.0 0.0016871134391057763
76.0 0.001561463805625676
77.0 0.0014471283735340633
78.0 0.0013429561547278622
79.0 0.0012479250381890997
80.0 0.0011611261710526314
81.0 0.0010785766967817034
82.0 0.0010027921684094955
83.0 0.000933144283139887
84.0 0.0008690699150108919
85.0 0.0008100636563254989
86.0 0.000755671290852218
87.0 0.0007054840728415116
88.0 0.0006591337041900764
89.0 0.0006162879175373256
90.0 0.0005766465861641726
91.0 0.0005399382926676226
92.0 0.0005059172978245525
93.0 0.00047436085909940073
94.0 0.0004450668551128493
95.0 0.0004178516782559705
96.0 0.0003925483626597232
97.0 0.00036900491904155513
98.0 0.00034708285165692057
99.0 0.000326655835774104
100.0 0.0003076085368421054
101.0 0.0002897978345209277
102.0 0.00027317078249537957
103.0 0.0002576388966614606
104.0 0.00024312102708932615
105.0 0.00022954269128678135
106.0 0.0002168354733739534
107.0 0.00020493648213263475
108.0 0.0001937878617003925
109.0 0.00018333634938733328
110.0 0.00017353287571524953
111.0 0.00016433220232598032
112.0 0.00015569259388756342
113.0 0.00014757552055167205
114.0 0.00013994538789081744
115.0 0.00013276929157527166
116.0 0.00012601679434292846
117.0 0.00011965972307502462
118.0 0.00011367198402094385
119.0 0.00010802939441971002
120.0 0.00010270952894736842
