# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3p2singlet_NLO.txt
# using column 2 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 -103.1550642
6.0 -62.51822073
7.0 -39.07388796
8.0 -25.20895997
9.0 -16.80597332
10.0 -11.43263491
11.0 -7.995794225
12.0 -5.646161416
13.0 -4.04456884
14.0 -2.94398094
15.0 -2.177222896
16.0 -1.621265331
17.0 -1.225469217
18.0 -0.939903336
19.0 -0.730947382
20.0 -0.575832912
21.0 -0.452621394
22.0 -0.359414299
23.0 -0.28834365
24.0 -0.233685941
25.0 -0.191271817
26.0 -0.156729703
27.0 -0.128857959
28.0 -0.106347626
29.0 -0.088137201
30.0 -0.073373599
31.0 -0.06140013
32.0 -0.051632092
33.0 -0.043636643
34.0 -0.037069736
35.0 -0.031657274
36.0 -0.027639987
37.0 -0.024253942
38.0 -0.021382621
39.0 -0.018933837
40.0 -0.016834155
41.0 -0.01506514
42.0 -0.013518385
43.0 -0.012154448
44.0 -0.010943216
45.0 -0.009861369
46.0 -0.008865652
47.0 -0.007978359
48.0 -0.00718871
49.0 -0.006486518
50.0 -0.005862337
51.0 -0.005276721
52.0 -0.004756202
53.0 -0.004291339
54.0 -0.003874446
55.0 -0.003499211
56.0 -0.00316041
57.0 -0.002853686
58.0 -0.002575373
59.0 -0.002322367
60.0 -0.002092015
61.0 -0.001892113
62.0 -0.001713361
63.0 -0.001553583
64.0 -0.001410797
65.0 -0.001283211
66.0 -0.001169207
67.0 -0.001067328
68.0 -0.000976267
69.0 -0.000894852
70.0 -0.000822036
71.0 -0.000760425
72.0 -0.000705077
73.0 -0.000655292
74.0 -0.000610453
75.0 -0.000570013
76.0 -0.000533492
77.0 -0.000500461
78.0 -0.000470543
79.0 -0.000443403
80.0 -0.000418746
81.0 -0.000390995
82.0 -0.000365387
83.0 -0.000341737
84.0 -0.000319875
85.0 -0.000299647
86.0 -0.000280917
87.0 -0.000263557
88.0 -0.000247456
89.0 -0.000232509
90.0 -0.000218622
91.0 -0.00020571
92.0 -0.000193695
93.0 -0.000182507
94.0 -0.000172081
95.0 -0.000162357
96.0 -0.000153283
97.0 -0.000144807
98.0 -0.000136886
99.0 -0.000129478
100.0 -0.000122546
101.0 -0.000116308
102.0 -0.000110442
103.0 -0.000104917
104.0 -9.97099e-05
105.0 -9.47965e-05
106.0 -9.0156e-05
107.0 -8.57695e-05
108.0 -8.16195e-05
109.0 -7.76904e-05
110.0 -7.39677e-05
111.0 -7.0438e-05
112.0 -6.70892e-05
113.0 -6.39102e-05
114.0 -6.08905e-05
115.0 -5.80207e-05
116.0 -5.52921e-05
117.0 -5.26964e-05
118.0 -5.02261e-05
119.0 -4.78742e-05
120.0 -4.56342e-05
