# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3pjoctetlong.txt
# using column 3 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 15466.92993908694
6.0 6272.3952965584385
7.0 2716.350951936378
8.0 1247.2390777671528
9.0 607.372619021131
10.0 313.38851140090344
11.0 171.4798578845428
12.0 98.3307129914447
13.0 58.766366955484955
14.0 36.41523653984189
15.0 23.28525341288669
16.0 15.309476554762094
17.0 10.317602474073153
18.0 7.109201106047506
19.0 4.997346096682409
20.0 3.57704097315178
21.0 2.6028254321394044
22.0 1.9228006938026776
23.0 1.440342102924147
24.0 1.0928899609373792
25.0 0.8391841677670404
26.0 0.6517759645375981
27.0 0.5114680034133965
28.0 0.40523860653431143
29.0 0.3239663884697405
30.0 0.2611786492055537
31.0 0.21222638787610038
32.0 0.1737325342545236
33.0 0.1432178576976566
34.0 0.11884408847832567
35.0 0.09923540669761674
36.0 0.0835036982806596
37.0 0.0706570054981541
38.0 0.06009879009943715
39.0 0.051368808124458265
40.0 0.04410921744917481
41.0 0.03803975479829253
42.0 0.03293939335213263
43.0 0.02863267490807373
44.0 0.024979444049454125
45.0 0.021867079184791926
46.0 0.01920457087740857
47.0 0.016917977322430028
48.0 0.014946913947631774
49.0 0.013241824937756193
50.0 0.011761849898414549
51.0 0.010460806807529121
52.0 0.009325869724579022
53.0 0.00833310296878454
54.0 0.0074623979089656406
55.0 0.006696803004036934
56.0 0.006021980893466536
57.0 0.005425766662703655
58.0 0.004897807027538577
59.0 0.004429264507034365
60.0 0.004012574000953999
61.0 0.003641241788404498
62.0 0.003309678994970821
63.0 0.003013063167877904
64.0 0.002747222852579081
65.0 0.0025085410555718882
66.0 0.002293874265221361
67.0 0.002100484329462187
68.0 0.0019259809907860703
69.0 0.0017682732814735655
70.0 0.0016255283062564063
71.0 0.0014964948058771633
72.0 0.0013793370203521915
73.0 0.0012728117088534453
74.0 0.0011758212756116523
75.0 0.0010873949351876027
76.0 0.0010066725362678495
77.0 0.0009328906382215354
78.0 0.0008653705011001864
79.0 0.0008035077046105301
80.0 0.0007467631569862598
81.0 0.0006946552923554878
82.0 0.0006467532865406696
83.0 0.0006026711473649222
84.0 0.0005620625573898736
85.0 0.0005246163653205096
86.0 0.0004900526376914562
87.0 0.00045811919539435624
88.0 0.000428588570526884
89.0 0.00040125532827605255
90.0 0.0003759337063696874
91.0 0.0003524555312689439
92.0 0.00033066837592146377
93.0 0.00031043392870691843
94.0 0.00029162654731512726
95.0 0.0002741319748112743
96.0 0.00025784619815412684
97.0 0.00024267443201821397
98.0 0.00022853021299381498
99.0 0.00021533459115325877
100.0 0.0002030154076239538
101.0 0.00019150664823610822
102.0 0.00018074786454860158
103.0 0.00017068365462758267
104.0 0.0001612631968822007
105.0 0.0001524398310703522
106.0 0.0001441706812913366
107.0 0.0001364163163961041
108.0 0.00012914044378180606
109.0 0.00012230963300600392
110.0 0.00011589306606622103
111.0 0.00010986231155028763
112.0 0.0001041911201786753
113.0 9.885523953763055e-05
114.0 9.383224604612983e-05
115.0 8.910139241492331e-05
116.0 8.464346904578554e-05
117.0 8.044067798675816e-05
118.0 7.647651820743977e-05
119.0 7.273568108960667e-05
120.0 6.92039551447597e-05
