# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3pjoctetunpol.txt
# using column 3 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 15259.328173913054
6.0 3818.351478260858
7.0 461.4271060869533
8.0 -457.89778000000337
9.0 -615.2775213910863
10.0 -557.2091878260846
11.0 -452.63356427980125
12.0 -354.0504347847716
13.0 -273.6102590255934
14.0 -211.09231619169512
15.0 -163.27236295652176
16.0 -126.8048704782156
17.0 -99.18633640792305
18.0 -78.23288852051351
19.0 -62.2280716201152
20.0 -49.887900208695605
21.0 -40.29519753740217
22.0 -32.78039139691931
23.0 -26.848350195593504
24.0 -22.131246862898582
25.0 -18.353839391304344
26.0 -15.307079541874728
27.0 -12.835875608183345
28.0 -10.81946937286087
29.0 -9.164735984742133
30.0 -7.799386584347825
31.0 -6.668516675191491
32.0 -5.725264156969659
33.0 -4.934607382973659
34.0 -4.268772504967033
35.0 -3.705591339130433
36.0 -3.225351478781729
37.0 -2.8166098891132387
38.0 -2.467666369676584
39.0 -2.168868809148388
40.0 -1.9122383982608697
41.0 -1.6927839462404641
42.0 -1.5025802551308283
43.0 -1.3370227387756959
44.0 -1.1923532414308227
45.0 -1.0654829083478259
46.0 -0.9530909099229874
47.0 -0.8541843986054551
48.0 -0.7670167879731383
49.0 -0.69007696120257
50.0 -0.62205758
51.0 -0.5621413059015203
52.0 -0.5088895475715075
53.0 -0.46143341576834707
54.0 -0.41903572346552376
55.0 -0.3810682608347826
56.0 -0.34699343865937415
57.0 -0.3163493803649775
58.0 -0.28873775235736127
59.0 -0.26381378073222217
60.0 -0.24127802293913042
61.0 -0.2210653168015389
62.0 -0.20280581071299955
63.0 -0.18629105568667728
64.0 -0.17133653317917796
65.0 -0.15777876269474037
66.0 -0.14547276946724697
67.0 -0.13428986735354403
68.0 -0.12411571739362671
69.0 -0.1148486272874498
70.0 -0.10639806132283906
71.0 -0.0986833340946884
72.0 -0.09163246471929994
73.0 -0.08518117120915517
74.0 -0.0792719872725446
75.0 -0.07385348607803956
76.0 -0.06887959751209574
77.0 -0.06430900719277187
78.0 -0.06010462701410726
79.0 -0.056233128311725764
80.0 -0.05266452988521739
81.0 -0.04920401276973038
82.0 -0.04600496167775994
83.0 -0.04304550347700133
84.0 -0.04030574349069888
85.0 -0.03776757561565499
86.0 -0.035414511434959155
87.0 -0.03323152638523792
88.0 -0.03120492123466163
89.0 -0.029322197305739636
90.0 -0.02757194403753206
91.0 -0.025943737626668517
92.0 -0.024428049616850665
93.0 -0.023016164423629536
94.0 -0.021700104886388565
95.0 -0.02047256503378458
96.0 -0.019326849333442
97.0 -0.018256817772431235
98.0 -0.017256836182881975
99.0 -0.016321731287783622
100.0 -0.015446749996347825
101.0 -0.014654244659207775
102.0 -0.013909587436776644
103.0 -0.01320919243840167
104.0 -0.012549801422202751
105.0 -0.011928449040183343
106.0 -0.01134243221836958
107.0 -0.010789283129837445
108.0 -0.010266745295917977
109.0 -0.009772752416370782
110.0 -0.009305409584851623
111.0 -0.008862976593198223
112.0 -0.008443853068251057
113.0 -0.008046565219236964
114.0 -0.007669754003084728
115.0 -0.007312164540192096
116.0 -0.0069726366347621985
117.0 -0.006650096272410491
118.0 -0.006343547983765949
119.0 -0.006052067976628237
120.0 -0.005774797951217393
