# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3s1singletunpol.txt
# using column 3 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 51.64402538030578
6.0 21.052813027143028
7.0 9.192685369675658
8.0 4.343307435556655
9.0 2.1779507666431766
10.0 1.1539204271629535
11.0 0.6451860852368274
12.0 0.3762487590642698
13.0 0.22722519896618767
14.0 0.1415103580515651
15.0 0.09066430492502955
16.0 0.05962748143663821
17.0 0.0401176119892396
18.0 0.02754928228310896
19.0 0.0192688162501954
20.0 0.013700140892098724
21.0 0.009882646963751594
22.0 0.007226142246987281
23.0 0.005350222034589611
24.0 0.00400744517504501
25.0 0.0030341420830617286
26.0 0.0023209722373121414
27.0 0.0017919605434536193
28.0 0.0013955050633364498
29.0 0.0010955385335708091
30.0 0.000866544519083945
31.0 0.0006902605476309779
32.0 0.0005534942620486205
33.0 0.0004466042047713388
34.0 0.00036248364662677977
35.0 0.0002958483869958851
36.0 0.00024275528132412547
37.0 0.0002001818300185793
38.0 0.00016585209201924576
39.0 0.00013802276352166317
40.0 0.00011534941789745217
41.0 9.67794352458382e-05
42.0 8.151227852323308e-05
43.0 6.890730637291739e-05
44.0 5.845802879251754e-05
45.0 4.97620272808903e-05
46.0 4.2501785812130554e-05
47.0 3.641388814985348e-05
48.0 3.12909169188896e-05
49.0 2.6965306831352318e-05
50.0 2.3301094369913684e-05
51.0 2.018505511340739e-05
52.0 1.7530276379121232e-05
53.0 1.5262333416938065e-05
54.0 1.331974389188998e-05
55.0 1.1651563225148802e-05
56.0 1.0215453957283857e-05
57.0 8.976130561211016e-06
58.0 7.904102651693665e-06
59.0 6.974656145951972e-06
60.0 6.16702479383891e-06
61.0 5.462330161868161e-06
62.0 4.846899640540444e-06
63.0 4.3083082833119355e-06
64.0 3.8360160471771346e-06
65.0 3.4210584753000453e-06
66.0 3.0557919190557615e-06
67.0 2.7336830289016035e-06
68.0 2.4491342981493472e-06
69.0 2.197339063768437e-06
70.0 1.974160650599172e-06
71.0 1.7760313639704719e-06
72.0 1.5998678477855856e-06
73.0 1.4429999747792111e-06
74.0 1.3031109570872593e-06
75.0 1.1781867851640102e-06
76.0 1.0664734422683166e-06
77.0 9.66440616570519e-07
78.0 8.767508562744555e-07
79.0 7.962332951739457e-07
80.0 7.238612248277854e-07
81.0 6.590580740821818e-07
82.0 6.006813925441632e-07
83.0 5.480322479240025e-07
84.0 5.004943644101696e-07
85.0 4.57523571148668e-07
86.0 4.1863869548837657e-07
87.0 3.834136899701319e-07
88.0 3.514708147570306e-07
89.0 3.2247472456001825e-07
90.0 2.961273320327014e-07
91.0 2.721633388498107e-07
92.0 2.50346341867075e-07
93.0 2.3046543539818917e-07
94.0 2.123322421585802e-07
95.0 1.9577831516444276e-07
96.0 1.8065286112722977e-07
97.0 1.668207428877287e-07
98.0 1.541607243888596e-07
99.0 1.425639267578431e-07
100.0 1.3193246839458913e-07
101.0 1.2217421458247928e-07
102.0 1.1321463179936266e-07
103.0 1.0498211488520923e-07
104.0 9.7412031916498e-08
105.0 9.044599182763578e-08
106.0 8.403119448252862e-08
107.0 7.811985329930248e-08
108.0 7.266868179203286e-08
109.0 6.763843648441214e-08
110.0 6.299350959562329e-08
111.0 5.8701565718860645e-08
112.0 5.473321742530411e-08
113.0 5.106173534595105e-08
114.0 4.7662788823161514e-08
115.0 4.451421369407078e-08
116.0 4.159580417848349e-08
117.0 3.888912620248675e-08
118.0 3.637734980274607e-08
119.0 3.404509853115358e-08
120.0 3.1878314020336934e-08
