# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3s1singlettransverse.txt
# using column 3 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 8.184488142240976
6.0 3.192697423027596
7.0 1.2470930499674444
8.0 0.5226406365946501
9.0 0.2437052535273938
10.0 0.12361939173992205
11.0 0.06526453474644342
12.0 0.03607654153450279
13.0 0.020797885344955136
14.0 0.012445373587608444
15.0 0.00768675673689298
16.0 0.004886270575801908
17.0 0.003184854379928925
18.0 0.0021228920815816
19.0 0.0014438800448474537
20.0 0.0010001977630351069
21.0 0.0007048104518761596
22.0 0.0005042561748872047
23.0 0.0003658204451203814
24.0 0.0002688058144678511
25.0 0.00019986561130501263
26.0 0.0001502903649700838
27.0 0.00011416652891596354
28.0 8.754837941282333e-05
29.0 6.772972085631378e-05
30.0 5.283005471748125e-05
31.0 4.152664900301361e-05
32.0 3.2878479758003926e-05
33.0 2.6208934549778544e-05
34.0 2.1026651803601356e-05
35.0 1.6971448864730687e-05
36.0 1.3781640408410672e-05
37.0 1.125203025066176e-05
38.0 9.233868269986345e-06
39.0 7.614546062541122e-06
40.0 6.3082017549847565e-06
41.0 5.248920534763915e-06
42.0 4.385773019477679e-06
43.0 3.679166293902375e-06
44.0 3.098140325524674e-06
45.0 2.6183506282900993e-06
46.0 2.2205528242052254e-06
47.0 1.8894569087844671e-06
48.0 1.6128557078693931e-06
49.0 1.3809580172022874e-06
50.0 1.1858754908000181e-06
51.0 1.0212279522681385e-06
52.0 8.818270819619911e-07
53.0 7.634441359667158e-07
54.0 6.626170689195915e-07
55.0 5.765012114769915e-07
56.0 5.027509857569983e-07
57.0 4.394258116558865e-07
58.0 3.8491495232411804e-07
59.0 3.378772515108728e-07
60.0 2.971926293384245e-07
61.0 2.61922899818303e-07
62.0 2.3128000713476148e-07
63.0 2.046001883950378e-07
64.0 1.8132288792445576e-07
65.0 1.6097349449581723e-07
66.0 1.431491648193776e-07
67.0 1.2750714677500648e-07
68.0 1.1375513378532443e-07
69.0 1.0164327467129179e-07
70.0 9.095753685170035e-08
71.0 8.151841766934275e-08
72.0 7.316267202814442e-08
73.0 6.575418824519284e-08
74.0 5.917541194927134e-08
75.0 5.332462064455632e-08
76.0 4.811362673577263e-08
77.0 4.346583730730265e-08
78.0 3.931461166382808e-08
79.0 3.560186797642924e-08
80.0 3.227689880340333e-08
81.0 2.9295362140827898e-08
82.0 2.661842029987716e-08
83.0 2.4212003542298226e-08
84.0 2.2046179221523536e-08
85.0 2.0094610326560427e-08
86.0 1.8334089931489192e-08
87.0 1.6744140213907566e-08
88.0 1.530666650101775e-08
89.0 1.4005658297156939e-08
90.0 1.2826930494280912e-08
91.0 1.1757899010274162e-08
92.0 1.0787385974203625e-08
93.0 9.905450311604306e-09
94.0 9.103240200264009e-09
95.0 8.37286438726033e-09
96.0 7.707279797261629e-09
97.0 7.100193233620603e-09
98.0 6.545975288562878e-09
99.0 6.039584845922535e-09
100.0 5.576502786992322e-09
101.0 5.152673703453086e-09
102.0 4.764454586292818e-09
103.0 4.408569600534318e-09
104.0 4.0820701761433326e-09
105.0 3.782299748787234e-09
106.0 3.5068625727588956e-09
107.0 3.2535961045567304e-09
108.0 3.020546521172132e-09
109.0 2.8059469936341033e-09
110.0 2.608198385118839e-09
111.0 2.425852085066716e-09
112.0 2.257594727206681e-09
113.0 2.1022345709767795e-09
114.0 1.9586893532317295e-09
115.0 1.8259754409309391e-09
116.0 1.703198136200214e-09
117.0 1.589543003183778e-09
118.0 1.4842681018152293e-09
119.0 1.386697027348647e-09
120.0 1.2962126664724987e-09
