# SDC file containing only one column of values created from
# original inputfile: ../SDCs_Chung/3s1octetlong.txt
# using column 3 for the SDC values and column 0 for the pt values
################################################
# pT SDC
################################################
5.0 3913.4039228166703
6.0 1847.7259965957726
7.0 868.3792553528556
8.0 436.237234668871
9.0 236.26132873408847
10.0 135.89635546264867
11.0 83.75609497475811
12.0 50.72257876866236
13.0 31.29580527279931
14.0 21.12044049963776
15.0 14.34876555716172
16.0 9.63196260297084
17.0 6.7047847616808856
18.0 4.87403490762468
19.0 3.679654357489352
20.0 2.8434553933479023
21.0 2.170581741953123
22.0 1.6747517092072672
23.0 1.3042933004990436
24.0 1.0244486794834322
25.0 0.8111346848312162
26.0 0.6507490211421849
27.0 0.5262527970125435
28.0 0.42870193950682906
29.0 0.3516095143539192
30.0 0.29020807759413014
31.0 0.24095187401731374
32.0 0.20117519934879885
33.0 0.16885428238265418
34.0 0.14243894955772593
35.0 0.1207320677262293
36.0 0.10300538001954714
37.0 0.08826358060609552
38.0 0.07594154886026919
39.0 0.06559264875300726
40.0 0.05686155613443045
41.0 0.04946383240185501
42.0 0.04317044709495897
43.0 0.037795962017041766
44.0 0.033189446384581475
45.0 0.02922744464614819
46.0 0.02580849836590167
47.0 0.022848852829799975
48.0 0.02027907275491108
49.0 0.018041359970354852
50.0 0.016087416361771203
51.0 0.014382437428218785
52.0 0.012885263287452813
53.0 0.011567281713904158
54.0 0.010404266310832902
55.0 0.009375637155095954
56.0 0.00846385711067539
57.0 0.0076539369500168665
58.0 0.006933028117491045
59.0 0.006290086379719425
60.0 0.005715593039784022
61.0 0.0052013230760729785
62.0 0.004740151674541962
63.0 0.004325892286279141
64.0 0.003953160659930711
65.0 0.0036172603467974794
66.0 0.003314086013637229
67.0 0.0030400415694390084
68.0 0.0027919706525721625
69.0 0.0025670974609087118
70.0 0.002362976260991179
71.0 0.0021775073796006165
72.0 0.002008712185238896
73.0 0.0018549008006085227
74.0 0.0017145739336323397
75.0 0.0015863992175027672
76.0 0.0014691907542677112
77.0 0.001361891392593061
78.0 0.0012635573442457055
79.0 0.0011733448053144674
80.0 0.0010904982994497682
81.0 0.0010143405032590263
82.0 0.0009442633499094898
83.0 0.0008797202371579386
84.0 0.0008202191914259745
85.0 0.0007653168609708641
86.0 0.0007146132293251656
87.0 0.0006677469555357414
88.0 0.0006243912607740101
89.0 0.0005842502919850025
90.0 0.0005470559027024594
91.0 0.0005125647992369223
92.0 0.0004805560073577321
93.0 0.0004508286205172435
94.0 0.00042319979575573287
95.0 0.0003975029678046086
96.0 0.0003735862556790545
97.0 0.0003513110393083111
98.0 0.00033055068656773
99.0 0.00031118941351493444
100.0 0.0002931212627469323
101.0 0.00027624918663153065
102.0 0.00026048422376372663
103.0 0.00024574475838920766
104.0 0.00023195585375074287
105.0 0.00021904865137333608
106.0 0.000206959829231308
107.0 0.0001956311125524984
108.0 0.0001850088317269385
109.0 0.00017504352241264968
110.0 0.0001656895634809
111.0 0.00015690484892718308
112.0 0.0001486504903005038
113.0 0.00014089054657984913
114.0 0.00013359177875896927
115.0 0.0001267234266944675
116.0 0.00012025700603234343
117.0 0.00011416612325864914
118.0 0.00010842630712445865
119.0 0.00010301485487697192
120.0 9.791069189005464e-05
